Race,Driver,Sector,Avg_Throttle,Brake_Percentage,RPM_Changes,Speed_Std
Monaco,VER,S1,45.1147129492739,30.17751479289941,167,51.35437166194195
Monaco,VER,S2,44.77246321067479,24.43438914027149,219,71.07635654814511
Monaco,VER,S3,53.4053145581332,20.32085561497326,185,57.09087110738715
Monaco,LEC,S1,58.92568970693188,31.92771084337349,164,52.02124052819855
Monaco,LEC,S2,49.57429435421363,31.674208144796378,221,74.96166025815351
Monaco,LEC,S3,61.80383834641708,26.486486486486488,183,56.827109140964424
Monaco,ALO,S1,50.79080325457785,34.756097560975604,162,53.161628178582326
Monaco,ALO,S2,42.964248667866094,27.074235807860266,226,72.72533322001222
Monaco,ALO,S3,53.2389293478454,23.783783783783786,182,58.05411899217605
Monza,VER,S1,72.3099438609858,17.22488038277512,204,93.27781925242569
Monza,VER,S2,64.52964352944876,19.36936936936937,221,60.049783364772985
Monza,VER,S3,81.96904396418995,11.11111111111111,195,44.580754389014665
Monza,LEC,S1,74.45872089207843,12.093023255813954,209,101.17790030695082
Monza,LEC,S2,69.46247031108582,20.869565217391305,224,70.54940990170076
Monza,LEC,S3,81.77992442811153,11.73469387755102,183,53.022000091791355
Monza,ALO,S1,75.08343407325303,12.796208530805686,207,98.3641375369017
Monza,ALO,S2,69.67001662789271,17.391304347826086,227,67.63043030813843
Monza,ALO,S3,80.87445085255099,11.848341232227488,199,50.93921243590744
Silverstone,VER,S1,71.03613515106842,16.877637130801688,232,73.55733533925506
Silverstone,VER,S2,77.69755367111141,9.865470852017937,223,63.473410856807845
Silverstone,VER,S3,74.67339605129332,13.675213675213676,234,60.21526989931308
Silverstone,LEC,S1,69.55384995394358,19.583333333333332,239,82.8845184218107
Silverstone,LEC,S2,75.8831661612974,12.554112554112553,225,70.81990303665836
Silverstone,LEC,S3,72.35509854801941,16.738197424892704,230,67.72661308097695
Silverstone,ALO,S1,69.606692876517,17.62295081967213,239,82.15133585844653
Silverstone,ALO,S2,74.56891055882276,9.691629955947137,223,72.16319091920592
Silverstone,ALO,S3,69.13976006641622,13.733905579399142,232,66.57387648727043
